Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_40_582.jpg;-15;1;0;2.830707;103.4391;89.6648;0.7088753;37.95609;359.4185
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_40_647.jpg;-10.79559;1;0;2.881081;103.5772;89.76125;0.4742912;36.06177;359.244
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_40_715.jpg;-6.790318;1;0;2.922751;103.7672;89.88873;0.1765321;34.25133;359.0457
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_40_781.jpg;-2.75045;1;0;2.977479;103.9139;89.98483;0.003950704;33.42083;358.9312
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_40_849.jpg;0;1;0;3.015671;104.1151;90.11787;359.9728;33.07193;358.9277
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_40_912.jpg;0;1;0;3.056056;104.27;90.21999;0.0543268;33.03;358.987
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_40_979.jpg;3.943661;1;0;3.094496;104.4264;90.3251;0.1612616;33.31145;359.1188
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_41_045.jpg;3.918368;0.8019202;0;3.142709;104.5836;90.43435;0.3149199;33.99391;359.3232
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_41_110.jpg;0;0.6023519;0;3.170218;104.7961;90.58103;0.5588957;34.47533;359.5753
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_41_179.jpg;3.896707;0.4075165;0;3.189124;104.9553;90.69303;0.7371019;34.84065;359.7929
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_41_245.jpg;0;0.2025171;0;3.19899;105.1141;90.80547;0.8874943;35.16614;0.002397471
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_41_312.jpg;0;0.001790687;0;3.19687;105.3248;90.95245;0.9599407;35.25119;0.1800131
C:\Users\Stewartt\Documents\IMG\robocam_2018_03_08_08_32_41_379.jpg;0;0;0;3.187846;105.4811;91.06142;0.9323816;35.24719;0.2815302
